GSMID	GSM_SNAME	SampleName	GPLID	SampleType	TissueType	DiseaseState	RunDate
GSM878751	GSM878751_GEaN2	N2	GPL6848	Normal	Prostate	BenignNormal	07-Sep-2005
GSM878752	GSM878752_GEaN4	N4	GPL6848	Normal	Prostate	BenignNormal	07-Sep-2005
GSM878753	GSM878753_GEaN5	N5	GPL6848	Normal	Prostate	BenignNormal	07-Sep-2005
GSM878754	GSM878754_GEaN6	N6	GPL6848	Normal	Prostate	BenignNormal	15-Aug-2006
GSM878755	GSM878755_GEaN7	N7	GPL6848	Normal	Prostate	BenignNormal	07-Sep-2005
GSM878756	GSM878756_GEaN8	N8	GPL6848	Normal	Prostate	BenignNormal	6-June-2006
GSM878757	GSM878757_GEaN9	N9	GPL6848	Normal	Prostate	BenignNormal	6-June-2006
GSM878758	GSM878758_GEaN10	N10	GPL6848	Normal	Prostate	BenignNormal	6-June-2006
GSM878759	GSM878759_GEaN11	N11	GPL6848	Normal	Prostate	BenignNormal	6-June-2006
GSM878760	GSM878760_GEaN12	N12	GPL6848	Normal	Prostate	BenignNormal	6-June-2006
GSM878761	GSM878761_GEaN13	N13	GPL6848	Normal	Prostate	BenignNormal	6-June-2006
GSM878762	GSM878762_GEaN14	N14	GPL6848	Normal	Prostate	BenignNormal	6-June-2006
GSM878763	GSM878763_GEaN15	N15	GPL6848	Normal	Prostate	BenignNormal	6-June-2006
GSM878764	GSM878764_GEaN16	N16	GPL6848	Normal	Prostate	BenignNormal	6-June-2006
GSM878765	GSM878765_GEaN17	N17	GPL6848	Normal	Prostate	BenignNormal	6-June-2006
GSM878778	GSM878778_GEaT1	T1	GPL6848	PrimaryTumor	Prostate	LocalizedPC	07-Sep-2005
GSM878779	GSM878779_GEaT3	T3	GPL6848	PrimaryTumor	Prostate	LocalizedPC	07-Sep-2005
GSM878780	GSM878780_GEaT5	T5	GPL6848	PrimaryTumor	Prostate	LocalizedPC	07-Sep-2005
GSM878781	GSM878781_GEaT6	T6	GPL6848	PrimaryTumor	Prostate	LocalizedPC	07-Sep-2005
GSM878782	GSM878782_GEaT7	T7	GPL6848	PrimaryTumor	Prostate	LocalizedPC	15-Aug-2006
GSM878783	GSM878783_GEaT8	T8	GPL6848	PrimaryTumor	Prostate	LocalizedPC	15-Aug-2006
GSM878784	GSM878784_GEaT9a	T9a	GPL6848	PrimaryTumor	Prostate	LocalizedPC	15-Aug-2006
GSM878785	GSM878785_GEaT10	T10	GPL6848	PrimaryTumor	Prostate	LocalizedPC	15-Aug-2006
GSM878786	GSM878786_GEaT11	T11	GPL6848	PrimaryTumor	Prostate	LocalizedPC	15-Aug-2006
GSM878787	GSM878787_GEaT12	T12	GPL6848	PrimaryTumor	Prostate	LocalizedPC	15-Aug-2006
GSM878855	GSM878855_GEaWA46	WA46	GPL6480	MetastaticTumor	PeriaorticLymphNode	CPRC	07-Feb-2007
GSM878856	GSM878856_GEaWA47	WA47	GPL6480	MetastaticTumor	Adrenal	CPRC	07-Feb-2007
GSM878839	GSM878839_GEaWA5	WA5	GPL6848	MetastaticTumor	-	CPRC	07-Sep-2005
GSM878869	GSM878869_GEaWA53	WA53	GPL6480	MetastaticTumor	Liver	CPRC	07-Feb-2007
GSM878870	GSM878870_GEaWA54	WA54	GPL6480	MetastaticTumor	Liver	CPRC	07-Feb-2007
GSM878871	GSM878871_GEaWA55	WA55	GPL6480	MetastaticTumor	Liver	CPRC	07-Feb-2007
GSM878858	GSM878858_GEaWA6	WA6	GPL6480	MetastaticTumor	-	CPRC	07-Feb-2007
GSM878864	GSM878864_GEaWA7	WA7	GPL6480	MetastaticTumor	SoftTissue	CPRC	07-Feb-2007
